Indicator,Year,Geography,FIPS,Cases,Rate per 100000
Primary and Secondary Syphilis,2019,Illinois,17,"1,374",10.8
Primary and Secondary Syphilis,2020 (COVID-19 Pandemic),Illinois,17,"1,467",11.5
Primary and Secondary Syphilis,2021,Illinois,17,"1,486",11.7
Chlamydia,2000,Indiana,18,"14,063",230.9
Chlamydia,2001,Indiana,18,"15,258",249.1
Chlamydia,2002,Indiana,18,"17,100",278.1
Chlamydia,2003,Indiana,18,"17,075",276.1
Chlamydia,2004,Indiana,18,"18,440",296.7
Chlamydia,2005,Indiana,18,"20,063",320.8
Chlamydia,2006,Indiana,18,"19,859",315.2
Chlamydia,2007,Indiana,18,"20,712",326.4
Chlamydia,2008,Indiana,18,"22,154",346.9
Chlamydia,2009,Indiana,18,"21,732",338.6
Chlamydia,2010,Indiana,18,"22,825",351.7
Chlamydia,2011,Indiana,18,"27,801",426.6
Chlamydia,2012,Indiana,18,"29,505",451.3
Chlamydia,2013,Indiana,18,"28,023",426.6
Chlamydia,2014,Indiana,18,"28,519",432.5
Chlamydia,2015,Indiana,18,"28,886",437.1
Chlamydia,2016,Indiana,18,"30,847",465
Chlamydia,2017,Indiana,18,"34,278",514.8
Chlamydia,2018,Indiana,18,"34,926",521.6
Chlamydia,2019,Indiana,18,"35,430",526.3
Chlamydia,2020 (COVID-19 Pandemic),Indiana,18,"33,372",491.8
Chlamydia,2021,Indiana,18,"34,755",510.7
Congenital Syphilis,2000,Indiana,18,4,4.6
Congenital Syphilis,2001,Indiana,18,13,15
Congenital Syphilis,2002,Indiana,18,9,10.6
Congenital Syphilis,2003,Indiana,18,7,8.1
Congenital Syphilis,2004,Indiana,18,4,4.6
Congenital Syphilis,2005,Indiana,18,2,2.3
Congenital Syphilis,2006,Indiana,18,0,0
Congenital Syphilis,2007,Indiana,18,2,2.2
Congenital Syphilis,2008,Indiana,18,0,0
Congenital Syphilis,2009,Indiana,18,1,1.2
Congenital Syphilis,2010,Indiana,18,0,0
Congenital Syphilis,2011,Indiana,18,0,0
Congenital Syphilis,2012,Indiana,18,0,0
Congenital Syphilis,2013,Indiana,18,0,0
Congenital Syphilis,2014,Indiana,18,8,9.5
Congenital Syphilis,2015,Indiana,18,5,5.9
Congenital Syphilis,2016,Indiana,18,8,9.6
Congenital Syphilis,2017,Indiana,18,8,9.7
Congenital Syphilis,2018,Indiana,18,1,1.2
Congenital Syphilis,2019,Indiana,18,13,16.1
Congenital Syphilis,2020 (COVID-19 Pandemic),Indiana,18,8,10.2
Congenital Syphilis,2021,Indiana,18,20,25
"Early Non-Primary, Non-Secondary Syphilis",2000,Indiana,18,184,3
"Early Non-Primary, Non-Secondary Syphilis",2001,Indiana,18,120,2
"Early Non-Primary, Non-Secondary Syphilis",2002,Indiana,18,53,0.9
"Early Non-Primary, Non-Secondary Syphilis",2003,Indiana,18,58,0.9
"Early Non-Primary, Non-Secondary Syphilis",2004,Indiana,18,45,0.7
"Early Non-Primary, Non-Secondary Syphilis",2005,Indiana,18,42,0.7
"Early Non-Primary, Non-Secondary Syphilis",2006,Indiana,18,46,0.7
"Early Non-Primary, Non-Secondary Syphilis",2007,Indiana,18,39,0.6
"Early Non-Primary, Non-Secondary Syphilis",2008,Indiana,18,83,1.3
"Early Non-Primary, Non-Secondary Syphilis",2009,Indiana,18,55,0.9
"Early Non-Primary, Non-Secondary Syphilis",2010,Indiana,18,103,1.6
"Early Non-Primary, Non-Secondary Syphilis",2011,Indiana,18,95,1.5
"Early Non-Primary, Non-Secondary Syphilis",2012,Indiana,18,148,2.3
"Early Non-Primary, Non-Secondary Syphilis",2013,Indiana,18,157,2.4
"Early Non-Primary, Non-Secondary Syphilis",2014,Indiana,18,129,2
"Early Non-Primary, Non-Secondary Syphilis",2015,Indiana,18,220,3.3
"Early Non-Primary, Non-Secondary Syphilis",2016,Indiana,18,247,3.7
"Early Non-Primary, Non-Secondary Syphilis",2017,Indiana,18,250,3.8
"Early Non-Primary, Non-Secondary Syphilis",2018,Indiana,18,359,5.4
"Early Non-Primary, Non-Secondary Syphilis",2019,Indiana,18,326,4.8
"Early Non-Primary, Non-Secondary Syphilis",2020 (COVID-19 Pandemic),Indiana,18,471,6.9
"Early Non-Primary, Non-Secondary Syphilis",2021,Indiana,18,624,9.2
Gonorrhea,2000,Indiana,18,"6,525",107.1
Gonorrhea,2001,Indiana,18,"6,972",113.8
Gonorrhea,2002,Indiana,18,"7,395",120.3
Gonorrhea,2003,Indiana,18,"6,681",108
Gonorrhea,2004,Indiana,18,"6,851",110.2
Gonorrhea,2005,Indiana,18,"8,094",129.4
Gonorrhea,2006,Indiana,18,"8,732",138.6
Gonorrhea,2007,Indiana,18,"8,790",138.5
Gonorrhea,2008,Indiana,18,"8,769",137.3
Gonorrhea,2009,Indiana,18,"6,835",106.5
Gonorrhea,2010,Indiana,18,"6,496",100.1
Gonorrhea,2011,Indiana,18,"6,569",100.8
Gonorrhea,2012,Indiana,18,"7,338",112.2
Gonorrhea,2013,Indiana,18,"7,144",108.8
Gonorrhea,2014,Indiana,18,"7,289",110.5
Gonorrhea,2015,Indiana,18,"7,843",118.7
Gonorrhea,2016,Indiana,18,"9,451",142.5
Gonorrhea,2017,Indiana,18,"11,835",177.8
Gonorrhea,2018,Indiana,18,"12,193",182.1
Gonorrhea,2019,Indiana,18,"11,926",177.1
Gonorrhea,2020 (COVID-19 Pandemic),Indiana,18,"14,111",208
Gonorrhea,2021,Indiana,18,"14,483",212.8
Primary and Secondary Syphilis,2000,Indiana,18,351,5.8
Primary and Secondary Syphilis,2001,Indiana,18,151,2.5
Primary and Secondary Syphilis,2002,Indiana,18,62,1
Primary and Secondary Syphilis,2003,Indiana,18,50,0.8
Primary and Secondary Syphilis,2004,Indiana,18,60,1
Primary and Secondary Syphilis,2005,Indiana,18,62,1
Primary and Secondary Syphilis,2006,Indiana,18,93,1.5
Primary and Secondary Syphilis,2007,Indiana,18,54,0.9
Primary and Secondary Syphilis,2008,Indiana,18,140,2.2
Primary and Secondary Syphilis,2009,Indiana,18,158,2.5
Primary and Secondary Syphilis,2010,Indiana,18,175,2.7
Primary and Secondary Syphilis,2011,Indiana,18,173,2.7
Primary and Secondary Syphilis,2012,Indiana,18,224,3.4
Primary and Secondary Syphilis,2013,Indiana,18,215,3.3
Primary and Secondary Syphilis,2014,Indiana,18,168,2.5
Primary and Secondary Syphilis,2015,Indiana,18,285,4.3
Primary and Secondary Syphilis,2016,Indiana,18,326,4.9
Primary and Secondary Syphilis,2017,Indiana,18,319,4.8
Primary and Secondary Syphilis,2018,Indiana,18,367,5.5
Primary and Secondary Syphilis,2019,Indiana,18,336,5
Primary and Secondary Syphilis,2020 (COVID-19 Pandemic),Indiana,18,527,7.8
Primary and Secondary Syphilis,2021,Indiana,18,734,10.8
Chlamydia,2000,Iowa,19,"5,987",204.5
Chlamydia,2001,Iowa,19,"5,699",194.6
Chlamydia,2002,Iowa,19,"6,195",211.5
Chlamydia,2003,Iowa,19,"6,491",221.2
Chlamydia,2004,Iowa,19,"6,956",236.4
Chlamydia,2005,Iowa,19,"7,390",250.5
Chlamydia,2006,Iowa,19,"8,390",282.9
Chlamydia,2007,Iowa,19,"8,643",290
Chlamydia,2008,Iowa,19,"9,372",313
Chlamydia,2009,Iowa,19,"9,406",312.7
Chlamydia,2010,Iowa,19,"10,542",345.6
Chlamydia,2011,Iowa,19,"10,705",349.1
Chlamydia,2012,Iowa,19,"11,377",369.8
Chlamydia,2013,Iowa,19,"10,953",354.1
Chlamydia,2014,Iowa,19,"11,804",379.6
Chlamydia,2015,Iowa,19,"12,085",387.2
Chlamydia,2016,Iowa,19,"12,983",414.6
Chlamydia,2017,Iowa,19,"13,893",442.2
Chlamydia,2018,Iowa,19,"14,682",466.3
Chlamydia,2019,Iowa,19,"16,044",508.5
Chlamydia,2020 (COVID-19 Pandemic),Iowa,19,"15,097",473.5
Chlamydia,2021,Iowa,19,"15,620",489.2
Congenital Syphilis,2000,Iowa,19,0,0
Congenital Syphilis,2001,Iowa,19,0,0
Congenital Syphilis,2002,Iowa,19,0,0
Congenital Syphilis,2003,Iowa,19,0,0
Congenital Syphilis,2004,Iowa,19,0,0
Congenital Syphilis,2005,Iowa,19,0,0
Congenital Syphilis,2006,Iowa,19,0,0
Congenital Syphilis,2007,Iowa,19,1,2.4
Congenital Syphilis,2008,Iowa,19,0,0
Congenital Syphilis,2009,Iowa,19,0,0
Congenital Syphilis,2010,Iowa,19,0,0
Congenital Syphilis,2011,Iowa,19,0,0
Congenital Syphilis,2012,Iowa,19,0,0
Congenital Syphilis,2013,Iowa,19,0,0
Congenital Syphilis,2014,Iowa,19,1,2.5
Congenital Syphilis,2015,Iowa,19,0,0
Congenital Syphilis,2016,Iowa,19,1,2.5
Congenital Syphilis,2017,Iowa,19,2,5.2
Congenital Syphilis,2018,Iowa,19,3,7.9
Congenital Syphilis,2019,Iowa,19,1,2.7
Congenital Syphilis,2020 (COVID-19 Pandemic),Iowa,19,1,2.8
Congenital Syphilis,2021,Iowa,19,11,29.9
"Early Non-Primary, Non-Secondary Syphilis",2000,Iowa,19,8,0.3
"Early Non-Primary, Non-Secondary Syphilis",2001,Iowa,19,6,0.2
"Early Non-Primary, Non-Secondary Syphilis",2002,Iowa,19,8,0.3
"Early Non-Primary, Non-Secondary Syphilis",2003,Iowa,19,5,0.2
"Early Non-Primary, Non-Secondary Syphilis",2004,Iowa,19,12,0.4
"Early Non-Primary, Non-Secondary Syphilis",2005,Iowa,19,6,0.2
"Early Non-Primary, Non-Secondary Syphilis",2006,Iowa,19,6,0.2
"Early Non-Primary, Non-Secondary Syphilis",2007,Iowa,19,6,0.2
"Early Non-Primary, Non-Secondary Syphilis",2008,Iowa,19,11,0.4
"Early Non-Primary, Non-Secondary Syphilis",2009,Iowa,19,9,0.3
"Early Non-Primary, Non-Secondary Syphilis",2010,Iowa,19,4,0.1
"Early Non-Primary, Non-Secondary Syphilis",2011,Iowa,19,11,0.4
"Early Non-Primary, Non-Secondary Syphilis",2012,Iowa,19,15,0.5
"Early Non-Primary, Non-Secondary Syphilis",2013,Iowa,19,63,2
"Early Non-Primary, Non-Secondary Syphilis",2014,Iowa,19,82,2.6
"Early Non-Primary, Non-Secondary Syphilis",2015,Iowa,19,69,2.2
"Early Non-Primary, Non-Secondary Syphilis",2016,Iowa,19,59,1.9
"Early Non-Primary, Non-Secondary Syphilis",2017,Iowa,19,91,2.9
"Early Non-Primary, Non-Secondary Syphilis",2018,Iowa,19,85,2.7
"Early Non-Primary, Non-Secondary Syphilis",2019,Iowa,19,100,3.2
"Early Non-Primary, Non-Secondary Syphilis",2020 (COVID-19 Pandemic),Iowa,19,163,5.1
"Early Non-Primary, Non-Secondary Syphilis",2021,Iowa,19,216,6.8
Gonorrhea,2000,Iowa,19,"1,392",47.5
Gonorrhea,2001,Iowa,19,"1,418",48.4
Gonorrhea,2002,Iowa,19,"1,480",50.5
Gonorrhea,2003,Iowa,19,"1,554",53
Gonorrhea,2004,Iowa,19,"1,249",42.4
Gonorrhea,2005,Iowa,19,"1,606",54.4
Gonorrhea,2006,Iowa,19,"1,966",66.3
Gonorrhea,2007,Iowa,19,"1,928",64.7
Gonorrhea,2008,Iowa,19,"1,700",56.8
Gonorrhea,2009,Iowa,19,"1,658",55.1
Gonorrhea,2010,Iowa,19,"1,803",59.1
Gonorrhea,2011,Iowa,19,"1,920",62.6
Gonorrhea,2012,Iowa,19,"2,006",65.2
Gonorrhea,2013,Iowa,19,"1,472",47.6
Gonorrhea,2014,Iowa,19,"1,641",52.8
Gonorrhea,2015,Iowa,19,"2,247",72
Gonorrhea,2016,Iowa,19,"2,600",83
Gonorrhea,2017,Iowa,19,"3,758",119.6
Gonorrhea,2018,Iowa,19,"4,839",153.7
Gonorrhea,2019,Iowa,19,"5,309",168.3
Gonorrhea,2020 (COVID-19 Pandemic),Iowa,19,"6,919",217
Gonorrhea,2021,Iowa,19,"6,403",200.5
Primary and Secondary Syphilis,2000,Iowa,19,11,0.4
Primary and Secondary Syphilis,2001,Iowa,19,5,0.2
Primary and Secondary Syphilis,2002,Iowa,19,8,0.3
Primary and Secondary Syphilis,2003,Iowa,19,12,0.4
Primary and Secondary Syphilis,2004,Iowa,19,5,0.2
Primary and Secondary Syphilis,2005,Iowa,19,9,0.3
Primary and Secondary Syphilis,2006,Iowa,19,19,0.6
Primary and Secondary Syphilis,2007,Iowa,19,21,0.7
Primary and Secondary Syphilis,2008,Iowa,19,16,0.5
Primary and Secondary Syphilis,2009,Iowa,19,23,0.8
Primary and Secondary Syphilis,2010,Iowa,19,19,0.6
Primary and Secondary Syphilis,2011,Iowa,19,20,0.7
Primary and Secondary Syphilis,2012,Iowa,19,70,2.3
Primary and Secondary Syphilis,2013,Iowa,19,106,3.4
Primary and Secondary Syphilis,2014,Iowa,19,72,2.3
Primary and Secondary Syphilis,2015,Iowa,19,75,2.4
Primary and Secondary Syphilis,2016,Iowa,19,89,2.8
Primary and Secondary Syphilis,2017,Iowa,19,101,3.2
Primary and Secondary Syphilis,2018,Iowa,19,86,2.7
Primary and Secondary Syphilis,2019,Iowa,19,132,4.2
Primary and Secondary Syphilis,2020 (COVID-19 Pandemic),Iowa,19,194,6.1
Primary and Secondary Syphilis,2021,Iowa,19,339,10.6
Chlamydia,2000,Kansas,20,"6,056",224.9
Chlamydia,2001,Kansas,20,"6,050",224
Chlamydia,2002,Kansas,20,"6,784",250.2
Chlamydia,2003,Kansas,20,"7,249",266.5
Chlamydia,2004,Kansas,20,"7,493",274.5
Chlamydia,2005,Kansas,20,"7,419",270.8
Chlamydia,2006,Kansas,20,"7,829",284.3
Chlamydia,2007,Kansas,20,"8,180",294.9
Chlamydia,2008,Kansas,20,"9,208",329.4
Chlamydia,2009,Kansas,20,"10,510",373
Chlamydia,2010,Kansas,20,"9,601",335.9
Chlamydia,2011,Kansas,20,"10,598",369.4
Chlamydia,2012,Kansas,20,"11,135",385.9
Chlamydia,2013,Kansas,20,"11,012",380.6
Chlamydia,2014,Kansas,20,"11,116",383.2
Chlamydia,2015,Kansas,20,"11,464",394.1
Chlamydia,2016,Kansas,20,"12,160",417.7
Chlamydia,2017,Kansas,20,"13,554",466
Chlamydia,2018,Kansas,20,"14,231",488.8
Chlamydia,2019,Kansas,20,"15,286",524.7
Chlamydia,2020 (COVID-19 Pandemic),Kansas,20,"14,620",498
Chlamydia,2021,Kansas,20,"14,851",506.1
Congenital Syphilis,2000,Kansas,20,2,5
Congenital Syphilis,2001,Kansas,20,2,5.1
Congenital Syphilis,2002,Kansas,20,0,0
Congenital Syphilis,2003,Kansas,20,1,2.5
Congenital Syphilis,2004,Kansas,20,2,5
Congenital Syphilis,2005,Kansas,20,0,0
Congenital Syphilis,2006,Kansas,20,1,2.4
Congenital Syphilis,2007,Kansas,20,0,0
Congenital Syphilis,2008,Kansas,20,0,0
Congenital Syphilis,2009,Kansas,20,3,7.2
Congenital Syphilis,2010,Kansas,20,0,0
Congenital Syphilis,2011,Kansas,20,0,0
Congenital Syphilis,2012,Kansas,20,0,0
Congenital Syphilis,2013,Kansas,20,0,0
Congenital Syphilis,2014,Kansas,20,0,0
Congenital Syphilis,2015,Kansas,20,0,0
Congenital Syphilis,2016,Kansas,20,2,5.3
Congenital Syphilis,2017,Kansas,20,1,2.7
Congenital Syphilis,2018,Kansas,20,8,22.1
Congenital Syphilis,2019,Kansas,20,9,25.4
Congenital Syphilis,2020 (COVID-19 Pandemic),Kansas,20,8,23.3
Congenital Syphilis,2021,Kansas,20,7,20.2
"Early Non-Primary, Non-Secondary Syphilis",2000,Kansas,20,9,0.3
"Early Non-Primary, Non-Secondary Syphilis",2001,Kansas,20,18,0.7
"Early Non-Primary, Non-Secondary Syphilis",2002,Kansas,20,13,0.5
"Early Non-Primary, Non-Secondary Syphilis",2003,Kansas,20,19,0.7
"Early Non-Primary, Non-Secondary Syphilis",2004,Kansas,20,12,0.4
"Early Non-Primary, Non-Secondary Syphilis",2005,Kansas,20,18,0.7
"Early Non-Primary, Non-Secondary Syphilis",2006,Kansas,20,18,0.7
"Early Non-Primary, Non-Secondary Syphilis",2007,Kansas,20,25,0.9
"Early Non-Primary, Non-Secondary Syphilis",2008,Kansas,20,54,1.9
"Early Non-Primary, Non-Secondary Syphilis",2009,Kansas,20,58,2.1
"Early Non-Primary, Non-Secondary Syphilis",2010,Kansas,20,63,2.2
"Early Non-Primary, Non-Secondary Syphilis",2011,Kansas,20,34,1.2
"Early Non-Primary, Non-Secondary Syphilis",2012,Kansas,20,54,1.9
"Early Non-Primary, Non-Secondary Syphilis",2013,Kansas,20,84,2.9
"Early Non-Primary, Non-Secondary Syphilis",2014,Kansas,20,92,3.2
"Early Non-Primary, Non-Secondary Syphilis",2015,Kansas,20,153,5.3
"Early Non-Primary, Non-Secondary Syphilis",2016,Kansas,20,178,6.1
"Early Non-Primary, Non-Secondary Syphilis",2017,Kansas,20,202,6.9
"Early Non-Primary, Non-Secondary Syphilis",2018,Kansas,20,291,10
"Early Non-Primary, Non-Secondary Syphilis",2019,Kansas,20,282,9.7
"Early Non-Primary, Non-Secondary Syphilis",2020 (COVID-19 Pandemic),Kansas,20,234,8
"Early Non-Primary, Non-Secondary Syphilis",2021,Kansas,20,239,8.1
Gonorrhea,2000,Kansas,20,"2,795",103.8
Gonorrhea,2001,Kansas,20,"2,669",98.8
Gonorrhea,2002,Kansas,20,"2,744",101.2
Gonorrhea,2003,Kansas,20,"2,647",97.3
Gonorrhea,2004,Kansas,20,"2,542",93.1
Gonorrhea,2005,Kansas,20,"2,605",95.1
Gonorrhea,2006,Kansas,20,"2,210",80.2
Gonorrhea,2007,Kansas,20,"2,282",82.3
Gonorrhea,2008,Kansas,20,"2,274",81.4
Gonorrhea,2009,Kansas,20,"2,505",88.9
Gonorrhea,2010,Kansas,20,"2,084",72.9
Gonorrhea,2011,Kansas,20,"2,209",77
Gonorrhea,2012,Kansas,20,"2,228",77.2
Gonorrhea,2013,Kansas,20,"2,161",74.7
Gonorrhea,2014,Kansas,20,"2,568",88.5
Gonorrhea,2015,Kansas,20,"2,536",87.2
Gonorrhea,2016,Kansas,20,"3,353",115.2
Gonorrhea,2017,Kansas,20,"4,545",156.3
Gonorrhea,2018,Kansas,20,"5,256",180.5
Gonorrhea,2019,Kansas,20,"4,948",169.8
Gonorrhea,2020 (COVID-19 Pandemic),Kansas,20,"5,626",191.6
Gonorrhea,2021,Kansas,20,"5,646",192.4
Primary and Secondary Syphilis,2000,Kansas,20,6,0.2
Primary and Secondary Syphilis,2001,Kansas,20,25,0.9
Primary and Secondary Syphilis,2002,Kansas,20,20,0.7
Primary and Secondary Syphilis,2003,Kansas,20,25,0.9
Primary and Secondary Syphilis,2004,Kansas,20,24,0.9
Primary and Secondary Syphilis,2005,Kansas,20,19,0.7
Primary and Secondary Syphilis,2006,Kansas,20,27,1
Primary and Secondary Syphilis,2007,Kansas,20,28,1
Primary and Secondary Syphilis,2008,Kansas,20,30,1.1
Primary and Secondary Syphilis,2009,Kansas,20,32,1.1
Primary and Secondary Syphilis,2010,Kansas,20,19,0.7
Primary and Secondary Syphilis,2011,Kansas,20,24,0.8
Primary and Secondary Syphilis,2012,Kansas,20,24,0.8
Primary and Secondary Syphilis,2013,Kansas,20,51,1.8
Primary and Secondary Syphilis,2014,Kansas,20,60,2.1
Primary and Secondary Syphilis,2015,Kansas,20,87,3
Primary and Secondary Syphilis,2016,Kansas,20,124,4.3
Primary and Secondary Syphilis,2017,Kansas,20,133,4.6
Primary and Secondary Syphilis,2018,Kansas,20,152,5.2
Primary and Secondary Syphilis,2019,Kansas,20,190,6.5
Primary and Secondary Syphilis,2020 (COVID-19 Pandemic),Kansas,20,150,5.1
Primary and Secondary Syphilis,2021,Kansas,20,301,10.3
Chlamydia,2000,Kentucky,21,"8,063",199.1
Chlamydia,2001,Kentucky,21,"8,881",218.3
Chlamydia,2002,Kentucky,21,"8,756",214
Chlamydia,2003,Kentucky,21,"7,981",193.8
Chlamydia,2004,Kentucky,21,"6,470",156.1
Chlamydia,2005,Kentucky,21,"8,351",199.8
Chlamydia,2006,Kentucky,21,"8,940",212
Chlamydia,2007,Kentucky,21,"8,798",206.8
Chlamydia,2008,Kentucky,21,"12,163",283.7
Chlamydia,2009,Kentucky,21,"13,293",308.3
Chlamydia,2010,Kentucky,21,"16,376",376.6
Chlamydia,2011,Kentucky,21,"16,629",380.5
Chlamydia,2012,Kentucky,21,"17,273",393.8
Chlamydia,2013,Kentucky,21,"17,134",389
Chlamydia,2014,Kentucky,21,"17,664",400.1
Chlamydia,2015,Kentucky,21,"17,444",394.1
Chlamydia,2016,Kentucky,21,"18,286",412
Chlamydia,2017,Kentucky,21,"19,320",433.9
Chlamydia,2018,Kentucky,21,"19,440",435.8
Chlamydia,2019,Kentucky,21,"20,911",468.1
Chlamydia,2020 (COVID-19 Pandemic),Kentucky,21,"18,750",416.3
Chlamydia,2021,Kentucky,21,"18,500",410.3
Congenital Syphilis,2000,Kentucky,21,3,5.4
Congenital Syphilis,2001,Kentucky,21,1,1.8
Congenital Syphilis,2002,Kentucky,21,3,5.5
Congenital Syphilis,2003,Kentucky,21,1,1.8
Congenital Syphilis,2004,Kentucky,21,1,1.8
Congenital Syphilis,2005,Kentucky,21,0,0
Congenital Syphilis,2006,Kentucky,21,1,1.7
Congenital Syphilis,2007,Kentucky,21,0,0
Congenital Syphilis,2008,Kentucky,21,1,1.7
Congenital Syphilis,2009,Kentucky,21,2,3.5
Congenital Syphilis,2010,Kentucky,21,0,0
Congenital Syphilis,2011,Kentucky,21,2,3.6
Congenital Syphilis,2012,Kentucky,21,2,3.6
Congenital Syphilis,2013,Kentucky,21,4,7.2
Congenital Syphilis,2014,Kentucky,21,3,5.3
Congenital Syphilis,2015,Kentucky,21,1,1.8
Congenital Syphilis,2016,Kentucky,21,5,9
Congenital Syphilis,2017,Kentucky,21,6,11
Congenital Syphilis,2018,Kentucky,21,9,16.7
Congenital Syphilis,2019,Kentucky,21,9,17
Congenital Syphilis,2020 (COVID-19 Pandemic),Kentucky,21,13,25.2
Congenital Syphilis,2021,Kentucky,21,25,47.9
"Early Non-Primary, Non-Secondary Syphilis",2000,Kentucky,21,62,1.5
"Early Non-Primary, Non-Secondary Syphilis",2001,Kentucky,21,38,0.9
"Early Non-Primary, Non-Secondary Syphilis",2002,Kentucky,21,49,1.2
"Early Non-Primary, Non-Secondary Syphilis",2003,Kentucky,21,43,1
"Early Non-Primary, Non-Secondary Syphilis",2004,Kentucky,21,24,0.6
"Early Non-Primary, Non-Secondary Syphilis",2005,Kentucky,21,23,0.6
"Early Non-Primary, Non-Secondary Syphilis",2006,Kentucky,21,36,0.9
"Early Non-Primary, Non-Secondary Syphilis",2007,Kentucky,21,34,0.8
"Early Non-Primary, Non-Secondary Syphilis",2008,Kentucky,21,47,1.1
"Early Non-Primary, Non-Secondary Syphilis",2009,Kentucky,21,64,1.5
"Early Non-Primary, Non-Secondary Syphilis",2010,Kentucky,21,88,2
"Early Non-Primary, Non-Secondary Syphilis",2011,Kentucky,21,109,2.5
"Early Non-Primary, Non-Secondary Syphilis",2012,Kentucky,21,139,3.2
"Early Non-Primary, Non-Secondary Syphilis",2013,Kentucky,21,167,3.8
"Early Non-Primary, Non-Secondary Syphilis",2014,Kentucky,21,169,3.8
"Early Non-Primary, Non-Secondary Syphilis",2015,Kentucky,21,164,3.7
"Early Non-Primary, Non-Secondary Syphilis",2016,Kentucky,21,189,4.3
"Early Non-Primary, Non-Secondary Syphilis",2017,Kentucky,21,236,5.3
"Early Non-Primary, Non-Secondary Syphilis",2018,Kentucky,21,294,6.6
"Early Non-Primary, Non-Secondary Syphilis",2019,Kentucky,21,395,8.8
"Early Non-Primary, Non-Secondary Syphilis",2020 (COVID-19 Pandemic),Kentucky,21,352,7.8
"Early Non-Primary, Non-Secondary Syphilis",2021,Kentucky,21,576,12.8
Gonorrhea,2000,Kentucky,21,"3,502",86.5
Gonorrhea,2001,Kentucky,21,"3,588",88.2
Gonorrhea,2002,Kentucky,21,"3,772",92.2
Gonorrhea,2003,Kentucky,21,"3,578",86.9
Gonorrhea,2004,Kentucky,21,"2,758",66.5
Gonorrhea,2005,Kentucky,21,"2,935",70.2
Gonorrhea,2006,Kentucky,21,"3,277",77.7
Gonorrhea,2007,Kentucky,21,"3,449",81.1
Gonorrhea,2008,Kentucky,21,"4,548",106.1
Gonorrhea,2009,Kentucky,21,"3,827",88.7
Gonorrhea,2010,Kentucky,21,"4,345",99.9
Gonorrhea,2011,Kentucky,21,"4,521",103.5
Gonorrhea,2012,Kentucky,21,"4,283",97.6
Gonorrhea,2013,Kentucky,21,"4,315",98
Gonorrhea,2014,Kentucky,21,"4,353",98.6
Gonorrhea,2015,Kentucky,21,"4,678",105.7
Gonorrhea,2016,Kentucky,21,"5,812",131
Gonorrhea,2017,Kentucky,21,"7,417",166.6
Gonorrhea,2018,Kentucky,21,"7,470",167.4
Gonorrhea,2019,Kentucky,21,"7,379",165.2
Gonorrhea,2020 (COVID-19 Pandemic),Kentucky,21,"8,393",186.3
Gonorrhea,2021,Kentucky,21,"8,221",182.3
Primary and Secondary Syphilis,2000,Kentucky,21,85,2.1
Primary and Secondary Syphilis,2001,Kentucky,21,48,1.2
Primary and Secondary Syphilis,2002,Kentucky,21,88,2.2
Primary and Secondary Syphilis,2003,Kentucky,21,33,0.8
Primary and Secondary Syphilis,2004,Kentucky,21,47,1.1
Primary and Secondary Syphilis,2005,Kentucky,21,52,1.2
Primary and Secondary Syphilis,2006,Kentucky,21,73,1.7
Primary and Secondary Syphilis,2007,Kentucky,21,56,1.3
Primary and Secondary Syphilis,2008,Kentucky,21,93,2.2
Primary and Secondary Syphilis,2009,Kentucky,21,92,2.1
Primary and Secondary Syphilis,2010,Kentucky,21,139,3.2
Primary and Secondary Syphilis,2011,Kentucky,21,129,3
Primary and Secondary Syphilis,2012,Kentucky,21,150,3.4
Primary and Secondary Syphilis,2013,Kentucky,21,122,2.8
Primary and Secondary Syphilis,2014,Kentucky,21,158,3.6
Primary and Secondary Syphilis,2015,Kentucky,21,145,3.3
Primary and Secondary Syphilis,2016,Kentucky,21,219,4.9
Primary and Secondary Syphilis,2017,Kentucky,21,262,5.9
Primary and Secondary Syphilis,2018,Kentucky,21,366,8.2
Primary and Secondary Syphilis,2019,Kentucky,21,438,9.8
Primary and Secondary Syphilis,2020 (COVID-19 Pandemic),Kentucky,21,445,9.9
Primary and Secondary Syphilis,2021,Kentucky,21,513,11.4
Chlamydia,2000,Louisiana,22,"18,088",404.7
Chlamydia,2001,Louisiana,22,"17,926",401.9
Chlamydia,2002,Louisiana,22,"18,442",413
Chlamydia,2003,Louisiana,22,"20,970",468.8
Chlamydia,2004,Louisiana,22,"21,837",486.6
Chlamydia,2005,Louisiana,22,"17,227",383.2
Chlamydia,2006,Louisiana,22,"17,885",422
Chlamydia,2007,Louisiana,22,"19,362",442.7
Chlamydia,2008,Louisiana,22,"22,659",509.3
Chlamydia,2009,Louisiana,22,"27,628",615.4
Chlamydia,2010,Louisiana,22,"29,151",641.5
Chlamydia,2011,Louisiana,22,"31,614",690.9
Chlamydia,2012,Louisiana,22,"27,353",594.5
Chlamydia,2013,Louisiana,22,"28,739",621.4
Chlamydia,2014,Louisiana,22,"28,955",623.5
Chlamydia,2015,Louisiana,22,"32,325",693
Chlamydia,2016,Louisiana,22,"31,727",678.2
Chlamydia,2017,Louisiana,22,"34,756",744.2
Chlamydia,2018,Louisiana,22,"36,293",778.9
Chlamydia,2019,Louisiana,22,"36,131",777.2
Chlamydia,2020 (COVID-19 Pandemic),Louisiana,22,"32,997",709.4
Chlamydia,2021,Louisiana,22,"33,759",730.1
