Indicator,Year,Geography,FIPS,Numerator,Percent
Population 25 years and older w/o HS diploma,2012,Georgia,13,"960,576",15
Population 25 years and older w/o HS diploma,2013,Georgia,13,"944,937",14.6
Population 25 years and older w/o HS diploma,2014,Georgia,13,"947,003",14.4
Population 25 years and older w/o HS diploma,2015,Georgia,13,"925,736",13.9
Population 25 years and older w/o HS diploma,2016,Georgia,13,"922,626",13.6
Population 25 years and older w/o HS diploma,2017,Georgia,13,"893,436",13
Population 25 years and older w/o HS diploma,2018,Georgia,13,"866,099",12.4
Population 25 years and older w/o HS diploma,2019,Georgia,13,"856,025",12.1
Population 25 years and older w/o HS diploma,2020 (COVID-19 Pandemic),Georgia,13,"772,371",10.7
Population 25 years and older w/o HS diploma,2021,Georgia,13,"797,877",11
Uninsured,2011,Georgia,13,"1,882,758",19.6
Uninsured,2012,Georgia,13,"1,792,319",18.4
Uninsured,2013,Georgia,13,"1,846,305",18.8
Uninsured,2014,Georgia,13,"1,568,381",15.8
Uninsured,2015,Georgia,13,"1,388,400",13.9
Uninsured,2016,Georgia,13,"1,309,573",12.9
Uninsured,2017,Georgia,13,"1,375,176",13.4
Uninsured,2018,Georgia,13,"1,411,183",13.7
Uninsured,2019,Georgia,13,"1,397,823",13.4
Uninsured,2020 (COVID-19 Pandemic),Georgia,13,"1,370,379",13
Uninsured,2021,Georgia,13,"1,338,922",12.6
Vacant housing,2011,Georgia,13,"608,576",14.8
Vacant housing,2012,Georgia,13,"574,646",14
Vacant housing,2013,Georgia,13,"563,197",13.7
Vacant housing,2014,Georgia,13,"563,866",13.6
Vacant housing,2015,Georgia,13,"525,821",12.6
Vacant housing,2016,Georgia,13,"532,968",12.6
Vacant housing,2017,Georgia,13,"537,180",12.5
Vacant housing,2018,Georgia,13,"523,254",12.1
Vacant housing,2019,Georgia,13,"525,636",12
Vacant housing,2020 (COVID-19 Pandemic),Georgia,13,"521,962",11.8
Vacant housing,2021,Georgia,13,"474,133",10.6
Households living below the federal poverty level,2011,Hawaii,15,"26,814",8.6
Households living below the federal poverty level,2012,Hawaii,15,"26,588",8.6
Households living below the federal poverty level,2013,Hawaii,15,"22,095",7.1
Households living below the federal poverty level,2014,Hawaii,15,"24,504",7.8
Households living below the federal poverty level,2015,Hawaii,15,"21,348",6.9
Households living below the federal poverty level,2016,Hawaii,15,"18,930",6
Households living below the federal poverty level,2017,Hawaii,15,"23,705",7.4
Households living below the federal poverty level,2018,Hawaii,15,"18,060",5.7
Households living below the federal poverty level,2019,Hawaii,15,"20,237",6.4
Households living below the federal poverty level,2020 (COVID-19 Pandemic),Hawaii,15,"19,723",6
Households living below the federal poverty level,2021,Hawaii,15,"26,791",8
Population 25 years and older w/o HS diploma,2011,Hawaii,15,"88,314",9.4
Population 25 years and older w/o HS diploma,2012,Hawaii,15,"91,419",9.6
Population 25 years and older w/o HS diploma,2013,Hawaii,15,"86,391",9
Population 25 years and older w/o HS diploma,2014,Hawaii,15,"80,891",8.3
Population 25 years and older w/o HS diploma,2015,Hawaii,15,"89,995",9.2
Population 25 years and older w/o HS diploma,2016,Hawaii,15,"79,663",8
Population 25 years and older w/o HS diploma,2017,Hawaii,15,"77,131",7.7
Population 25 years and older w/o HS diploma,2018,Hawaii,15,"80,079",8.1
Population 25 years and older w/o HS diploma,2019,Hawaii,15,"75,978",7.6
Population 25 years and older w/o HS diploma,2020 (COVID-19 Pandemic),Hawaii,15,"66,293",6.7
Population 25 years and older w/o HS diploma,2021,Hawaii,15,"72,211",7.1
Uninsured,2011,Hawaii,15,"94,399",7.1
Uninsured,2012,Hawaii,15,"92,338",6.9
Uninsured,2013,Hawaii,15,"90,755",6.7
Uninsured,2014,Hawaii,15,"72,111",5.3
Uninsured,2015,Hawaii,15,"54,531",4
Uninsured,2016,Hawaii,15,"48,673",3.5
Uninsured,2017,Hawaii,15,"52,827",3.8
Uninsured,2018,Hawaii,15,"55,799",4.1
Uninsured,2019,Hawaii,15,"56,479",4.2
Uninsured,2020 (COVID-19 Pandemic),Hawaii,15,"53,195",3.9
Uninsured,2021,Hawaii,15,"54,462",3.9
Vacant housing,2011,Hawaii,15,"73,751",14.1
Vacant housing,2012,Hawaii,15,"76,639",14.6
Vacant housing,2013,Hawaii,15,"76,185",14.5
Vacant housing,2014,Hawaii,15,"79,349",15
Vacant housing,2015,Hawaii,15,"86,477",16.2
Vacant housing,2016,Hawaii,15,"81,302",15.1
Vacant housing,2017,Hawaii,15,"84,877",15.6
Vacant housing,2018,Hawaii,15,"90,952",16.6
Vacant housing,2019,Hawaii,15,"85,029",15.5
Vacant housing,2020 (COVID-19 Pandemic),Hawaii,15,"76,622",13.8
Vacant housing,2021,Hawaii,15,"74,798",13.2
Households living below the federal poverty level,2011,Idaho,16,"46,247",11.6
Households living below the federal poverty level,2012,Idaho,16,"47,491",11.7
Households living below the federal poverty level,2013,Idaho,16,"42,646",10.4
Households living below the federal poverty level,2014,Idaho,16,"41,565",10.2
Households living below the federal poverty level,2015,Idaho,16,"43,638",10.9
Households living below the federal poverty level,2016,Idaho,16,"41,162",10
Households living below the federal poverty level,2017,Idaho,16,"36,101",8.6
Households living below the federal poverty level,2018,Idaho,16,"35,897",8.2
Households living below the federal poverty level,2019,Idaho,16,"33,224",7.4
Households living below the federal poverty level,2020 (COVID-19 Pandemic),Idaho,16,"31,250",6.7
Households living below the federal poverty level,2021,Idaho,16,"36,688",7.7
Population 25 years and older w/o HS diploma,2011,Idaho,16,"113,824",11.4
Population 25 years and older w/o HS diploma,2012,Idaho,16,"103,304",10.2
Population 25 years and older w/o HS diploma,2013,Idaho,16,"108,850",10.6
Population 25 years and older w/o HS diploma,2014,Idaho,16,"103,474",9.9
Population 25 years and older w/o HS diploma,2015,Idaho,16,"106,534",10
Population 25 years and older w/o HS diploma,2016,Idaho,16,"104,129",9.6
Population 25 years and older w/o HS diploma,2017,Idaho,16,"101,739",9.2
Population 25 years and older w/o HS diploma,2018,Idaho,16,"103,868",9.1
Population 25 years and older w/o HS diploma,2019,Idaho,16,"99,906",8.5
Population 25 years and older w/o HS diploma,2020 (COVID-19 Pandemic),Idaho,16,"105,116",8.7
Population 25 years and older w/o HS diploma,2021,Idaho,16,"109,913",8.7
Uninsured,2011,Idaho,16,"259,094",16.5
Uninsured,2012,Idaho,16,"254,743",16.2
Uninsured,2013,Idaho,16,"257,475",16.2
Uninsured,2014,Idaho,16,"218,707",13.6
Uninsured,2015,Idaho,16,"180,345",11
Uninsured,2016,Idaho,16,"168,110",10.1
Uninsured,2017,Idaho,16,"172,013",10.1
Uninsured,2018,Idaho,16,"192,620",11.1
Uninsured,2019,Idaho,16,"191,195",10.8
Uninsured,2020 (COVID-19 Pandemic),Idaho,16,"174,046",9.6
Uninsured,2021,Idaho,16,"165,929",8.8
Vacant housing,2011,Idaho,16,"94,201",14
Vacant housing,2012,Idaho,16,"89,942",13.4
Vacant housing,2013,Idaho,16,"87,703",13
Vacant housing,2014,Idaho,16,"93,511",13.6
Vacant housing,2015,Idaho,16,"95,061",13.7
Vacant housing,2016,Idaho,16,"89,957",12.8
Vacant housing,2017,Idaho,16,"96,683",13.4
Vacant housing,2018,Idaho,16,"95,433",13
Vacant housing,2019,Idaho,16,"95,254",12.7
Vacant housing,2020 (COVID-19 Pandemic),Idaho,16,"90,261",11.7
Vacant housing,2021,Idaho,16,"81,448",10.5
Households living below the federal poverty level,2011,Illinois,17,"340,875",11
Households living below the federal poverty level,2012,Illinois,17,"340,191",10.9
Households living below the federal poverty level,2013,Illinois,17,"337,864",10.8
Households living below the federal poverty level,2014,Illinois,17,"325,414",10.5
Households living below the federal poverty level,2015,Illinois,17,"303,747",9.8
Households living below the federal poverty level,2016,Illinois,17,"294,558",9.5
Households living below the federal poverty level,2017,Illinois,17,"277,519",9
Households living below the federal poverty level,2018,Illinois,17,"265,124",8.5
Households living below the federal poverty level,2019,Illinois,17,"241,666",7.9
Households living below the federal poverty level,2020 (COVID-19 Pandemic),Illinois,17,"228,422",7.4
Households living below the federal poverty level,2021,Illinois,17,"269,661",8.6
Population 25 years and older w/o HS diploma,2011,Illinois,17,"1,090,777",12.8
Population 25 years and older w/o HS diploma,2012,Illinois,17,"1,061,303",12.4
Population 25 years and older w/o HS diploma,2013,Illinois,17,"1,039,833",12.1
Population 25 years and older w/o HS diploma,2014,Illinois,17,"1,019,411",11.8
Population 25 years and older w/o HS diploma,2015,Illinois,17,"991,602",11.5
Population 25 years and older w/o HS diploma,2016,Illinois,17,"966,427",11.2
Population 25 years and older w/o HS diploma,2017,Illinois,17,"949,880",10.9
Population 25 years and older w/o HS diploma,2018,Illinois,17,"914,782",10.5
Population 25 years and older w/o HS diploma,2019,Illinois,17,"882,637",10.2
Population 25 years and older w/o HS diploma,2020 (COVID-19 Pandemic),Illinois,17,"828,028",9.6
Population 25 years and older w/o HS diploma,2021,Illinois,17,"858,004",9.8
Uninsured,2011,Illinois,17,"1,659,275",13.1
Uninsured,2012,Illinois,17,"1,622,465",12.8
Uninsured,2013,Illinois,17,"1,618,204",12.7
Uninsured,2014,Illinois,17,"1,237,926",9.7
Uninsured,2015,Illinois,17,"900,289",7.1
Uninsured,2016,Illinois,17,"816,602",6.5
Uninsured,2017,Illinois,17,"859,257",6.8
Uninsured,2018,Illinois,17,"874,608",7
Uninsured,2019,Illinois,17,"923,291",7.4
Uninsured,2020 (COVID-19 Pandemic),Illinois,17,"881,009",7.1
Uninsured,2021,Illinois,17,"875,099",7
Vacant housing,2011,Illinois,17,"559,001",10.6
Vacant housing,2012,Illinois,17,"519,955",9.8
Vacant housing,2013,Illinois,17,"506,232",9.6
Vacant housing,2014,Illinois,17,"535,087",10.1
Vacant housing,2015,Illinois,17,"523,095",9.8
Vacant housing,2016,Illinois,17,"505,119",9.5
Vacant housing,2017,Illinois,17,"550,744",10.3
Vacant housing,2018,Illinois,17,"511,312",9.5
Vacant housing,2019,Illinois,17,"522,204",9.7
Vacant housing,2020 (COVID-19 Pandemic),Illinois,17,"492,165",9.1
Vacant housing,2021,Illinois,17,"448,653",8.2
Households living below the federal poverty level,2011,Indiana,18,"192,043",11.7
Households living below the federal poverty level,2012,Indiana,18,"186,243",11.3
Households living below the federal poverty level,2013,Indiana,18,"196,105",11.9
Households living below the federal poverty level,2014,Indiana,18,"180,637",10.9
Households living below the federal poverty level,2015,Indiana,18,"166,637",10.2
Households living below the federal poverty level,2016,Indiana,18,"157,993",9.6
Households living below the federal poverty level,2017,Indiana,18,"152,729",9.2
Households living below the federal poverty level,2018,Indiana,18,"156,535",9.3
Households living below the federal poverty level,2019,Indiana,18,"127,860",7.8
Households living below the federal poverty level,2020 (COVID-19 Pandemic),Indiana,18,"135,038",8
Households living below the federal poverty level,2021,Indiana,18,"142,548",8.3
Population 25 years and older w/o HS diploma,2011,Indiana,18,"544,699",12.8
Population 25 years and older w/o HS diploma,2012,Indiana,18,"530,589",12.4
Population 25 years and older w/o HS diploma,2013,Indiana,18,"534,799",12.4
Population 25 years and older w/o HS diploma,2014,Indiana,18,"503,778",11.6
Population 25 years and older w/o HS diploma,2015,Indiana,18,"514,136",11.8
Population 25 years and older w/o HS diploma,2016,Indiana,18,"511,499",11.7
Population 25 years and older w/o HS diploma,2017,Indiana,18,"504,862",11.4
Population 25 years and older w/o HS diploma,2018,Indiana,18,"491,834",11
Population 25 years and older w/o HS diploma,2019,Indiana,18,"468,083",10.4
Population 25 years and older w/o HS diploma,2020 (COVID-19 Pandemic),Indiana,18,"444,426",9.8
Population 25 years and older w/o HS diploma,2021,Indiana,18,"426,734",9.4
Uninsured,2011,Indiana,18,"930,829",14.5
Uninsured,2012,Indiana,18,"919,866",14.3
Uninsured,2013,Indiana,18,"902,911",14
Uninsured,2014,Indiana,18,"775,884",11.9
Uninsured,2015,Indiana,18,"627,761",9.6
Uninsured,2016,Indiana,18,"530,363",8.1
Uninsured,2017,Indiana,18,"536,399",8.2
Uninsured,2018,Indiana,18,"545,123",8.3
Uninsured,2019,Indiana,18,"578,436",8.7
Uninsured,2020 (COVID-19 Pandemic),Indiana,18,"497,005",7.5
Uninsured,2021,Indiana,18,"504,396",7.5
Vacant housing,2011,Indiana,18,"333,688",11.9
Vacant housing,2012,Indiana,18,"328,353",11.7
Vacant housing,2013,Indiana,18,"311,245",11.1
Vacant housing,2014,Indiana,18,"326,891",11.6
Vacant housing,2015,Indiana,18,"326,307",11.5
Vacant housing,2016,Indiana,18,"321,325",11.3
Vacant housing,2017,Indiana,18,"328,043",11.4
Vacant housing,2018,Indiana,18,"304,407",10.5
Vacant housing,2019,Indiana,18,"323,350",11.1
Vacant housing,2020 (COVID-19 Pandemic),Indiana,18,"298,385",10.1
Vacant housing,2021,Indiana,18,"269,427",9.1
Households living below the federal poverty level,2011,Iowa,19,"63,576",8.1
Households living below the federal poverty level,2012,Iowa,19,"70,113",8.8
Households living below the federal poverty level,2013,Iowa,19,"64,294",8.1
Households living below the federal poverty level,2014,Iowa,19,"63,323",7.9
Households living below the federal poverty level,2015,Iowa,19,"61,354",7.7
Households living below the federal poverty level,2016,Iowa,19,"60,423",7.6
Households living below the federal poverty level,2017,Iowa,19,"53,239",6.7
Households living below the federal poverty level,2018,Iowa,19,"57,624",7.2
Households living below the federal poverty level,2019,Iowa,19,"59,043",7.3
Households living below the federal poverty level,2020 (COVID-19 Pandemic),Iowa,19,"54,751",6.8
Households living below the federal poverty level,2021,Iowa,19,"55,717",6.9
Population 25 years and older w/o HS diploma,2011,Iowa,19,"190,557",9.4
Population 25 years and older w/o HS diploma,2012,Iowa,19,"171,107",8.4
Population 25 years and older w/o HS diploma,2013,Iowa,19,"172,055",8.4
Population 25 years and older w/o HS diploma,2014,Iowa,19,"162,956",7.9
Population 25 years and older w/o HS diploma,2015,Iowa,19,"171,665",8.3
Population 25 years and older w/o HS diploma,2016,Iowa,19,"172,098",8.3
Population 25 years and older w/o HS diploma,2017,Iowa,19,"165,605",7.9
Population 25 years and older w/o HS diploma,2018,Iowa,19,"162,649",7.7
Population 25 years and older w/o HS diploma,2019,Iowa,19,"156,481",7.4
Population 25 years and older w/o HS diploma,2020 (COVID-19 Pandemic),Iowa,19,"148,140",6.9
Population 25 years and older w/o HS diploma,2021,Iowa,19,"142,666",6.7
Uninsured,2011,Iowa,19,"269,490",8.9
Uninsured,2012,Iowa,19,"254,275",8.4
Uninsured,2013,Iowa,19,"247,717",8.1
Uninsured,2014,Iowa,19,"188,885",6.2
Uninsured,2015,Iowa,19,"154,970",5
Uninsured,2016,Iowa,19,"131,612",4.3
Uninsured,2017,Iowa,19,"146,017",4.7
Uninsured,2018,Iowa,19,"147,039",4.7
Uninsured,2019,Iowa,19,"156,062",5
Uninsured,2020 (COVID-19 Pandemic),Iowa,19,"152,357",4.9
Uninsured,2021,Iowa,19,"151,285",4.8
Vacant housing,2011,Iowa,19,"123,823",9.2
Vacant housing,2012,Iowa,19,"118,663",8.8
Vacant housing,2013,Iowa,19,"113,398",8.4
Vacant housing,2014,Iowa,19,"120,563",8.9
Vacant housing,2015,Iowa,19,"122,130",8.9
Vacant housing,2016,Iowa,19,"132,155",9.6
Vacant housing,2017,Iowa,19,"140,234",10
Vacant housing,2018,Iowa,19,"141,695",10.1
Vacant housing,2019,Iowa,19,"131,379",9.3
Vacant housing,2020 (COVID-19 Pandemic),Iowa,19,"152,972",10.7
Vacant housing,2021,Iowa,19,"125,572",8.8
Households living below the federal poverty level,2011,Kansas,20,"66,425",9.2
Households living below the federal poverty level,2012,Kansas,20,"67,627",9.3
Households living below the federal poverty level,2013,Kansas,20,"70,617",9.6
Households living below the federal poverty level,2014,Kansas,20,"67,031",9.2
Households living below the federal poverty level,2015,Kansas,20,"60,546",8.4
Households living below the federal poverty level,2016,Kansas,20,"56,564",7.9
Households living below the federal poverty level,2017,Kansas,20,"57,958",7.9
Households living below the federal poverty level,2018,Kansas,20,"58,140",8
Households living below the federal poverty level,2019,Kansas,20,"55,012",7.5
Households living below the federal poverty level,2020 (COVID-19 Pandemic),Kansas,20,"55,024",7.4
Households living below the federal poverty level,2021,Kansas,20,"59,282",8
Population 25 years and older w/o HS diploma,2011,Kansas,20,"183,357",9.9
Population 25 years and older w/o HS diploma,2012,Kansas,20,"182,596",9.8
Population 25 years and older w/o HS diploma,2013,Kansas,20,"185,372",9.9
Population 25 years and older w/o HS diploma,2014,Kansas,20,"182,508",9.7
Population 25 years and older w/o HS diploma,2015,Kansas,20,"183,754",9.7
Population 25 years and older w/o HS diploma,2016,Kansas,20,"178,843",9.4
Population 25 years and older w/o HS diploma,2017,Kansas,20,"171,263",9
Population 25 years and older w/o HS diploma,2018,Kansas,20,"172,033",9
Population 25 years and older w/o HS diploma,2019,Kansas,20,"157,757",8.2
Population 25 years and older w/o HS diploma,2020 (COVID-19 Pandemic),Kansas,20,"157,324",8.2
Population 25 years and older w/o HS diploma,2021,Kansas,20,"157,422",8.1
Uninsured,2011,Kansas,20,"354,630",12.6
Uninsured,2012,Kansas,20,"355,564",12.6
Uninsured,2013,Kansas,20,"348,097",12.3
Uninsured,2014,Kansas,20,"291,474",10.2
Uninsured,2015,Kansas,20,"260,508",9.1
Uninsured,2016,Kansas,20,"248,974",8.7
Uninsured,2017,Kansas,20,"249,392",8.7
Uninsured,2018,Kansas,20,"250,355",8.8
Uninsured,2019,Kansas,20,"262,392",9.2
Uninsured,2020 (COVID-19 Pandemic),Kansas,20,"252,299",8.8
Uninsured,2021,Kansas,20,"263,730",9.2
Vacant housing,2011,Kansas,20,"136,037",11
Vacant housing,2012,Kansas,20,"124,792",10.1
Vacant housing,2013,Kansas,20,"126,026",10.2
Vacant housing,2014,Kansas,20,"139,581",11.2
Vacant housing,2015,Kansas,20,"142,307",11.3
Vacant housing,2016,Kansas,20,"149,463",11.9
Vacant housing,2017,Kansas,20,"144,793",11.4
Vacant housing,2018,Kansas,20,"147,145",11.5
Vacant housing,2019,Kansas,20,"150,101",11.6
Vacant housing,2020 (COVID-19 Pandemic),Kansas,20,"142,053",11
Vacant housing,2021,Kansas,20,"125,327",9.8
Households living below the federal poverty level,2011,Kentucky,21,"164,622",14.7
Households living below the federal poverty level,2012,Kentucky,21,"168,834",14.8
Households living below the federal poverty level,2013,Kentucky,21,"165,241",14.5
Households living below the federal poverty level,2014,Kentucky,21,"163,065",14.5
Households living below the federal poverty level,2015,Kentucky,21,"158,457",14
Households living below the federal poverty level,2016,Kentucky,21,"156,997",14
Households living below the federal poverty level,2017,Kentucky,21,"145,748",12.9
Households living below the federal poverty level,2018,Kentucky,21,"143,505",12.6
Households living below the federal poverty level,2019,Kentucky,21,"133,255",11.8
Households living below the federal poverty level,2020 (COVID-19 Pandemic),Kentucky,21,"117,305",10.4
Households living below the federal poverty level,2021,Kentucky,21,"141,462",12.2
Population 25 years and older w/o HS diploma,2011,Kentucky,21,"496,800",17
Population 25 years and older w/o HS diploma,2012,Kentucky,21,"478,480",16.3
Population 25 years and older w/o HS diploma,2013,Kentucky,21,"469,631",15.9
Population 25 years and older w/o HS diploma,2014,Kentucky,21,"459,913",15.5
Population 25 years and older w/o HS diploma,2015,Kentucky,21,"443,964",14.9
Population 25 years and older w/o HS diploma,2016,Kentucky,21,"428,460",14.3
Population 25 years and older w/o HS diploma,2017,Kentucky,21,"412,486",13.7
Population 25 years and older w/o HS diploma,2018,Kentucky,21,"401,064",13.2
Population 25 years and older w/o HS diploma,2019,Kentucky,21,"390,653",12.8
Population 25 years and older w/o HS diploma,2020 (COVID-19 Pandemic),Kentucky,21,"346,239",11.3
Population 25 years and older w/o HS diploma,2021,Kentucky,21,"369,720",12
Uninsured,2011,Kentucky,21,"618,458",14.4
Uninsured,2012,Kentucky,21,"595,460",13.9
Uninsured,2013,Kentucky,21,"616,448",14.3
Uninsured,2014,Kentucky,21,"366,062",8.5
Uninsured,2015,Kentucky,21,"261,468",6
Uninsured,2016,Kentucky,21,"223,350",5.1
Uninsured,2017,Kentucky,21,"235,227",5.4
Uninsured,2018,Kentucky,21,"247,641",5.6
Uninsured,2019,Kentucky,21,"282,563",6.4
Uninsured,2020 (COVID-19 Pandemic),Kentucky,21,"254,911",5.8
Uninsured,2021,Kentucky,21,"250,787",5.7
Vacant housing,2011,Kentucky,21,"260,597",13.5
Vacant housing,2012,Kentucky,21,"230,317",11.9
Vacant housing,2013,Kentucky,21,"231,011",11.9
Vacant housing,2014,Kentucky,21,"238,410",12.2
Vacant housing,2015,Kentucky,21,"240,965",12.3
Vacant housing,2016,Kentucky,21,"247,871",12.6
Vacant housing,2017,Kentucky,21,"259,201",13.1
Vacant housing,2018,Kentucky,21,"262,474",13.2
Vacant housing,2019,Kentucky,21,"257,603",12.8
Vacant housing,2020 (COVID-19 Pandemic),Kentucky,21,"257,175",12.8
Vacant housing,2021,Kentucky,21,"222,545",11.1
Households living below the federal poverty level,2011,Louisiana,22,"180,033",16.1
Households living below the federal poverty level,2012,Louisiana,22,"174,477",15.5
Households living below the federal poverty level,2013,Louisiana,22,"172,804",15.3
Households living below the federal poverty level,2014,Louisiana,22,"165,786",14.9
Households living below the federal poverty level,2015,Louisiana,22,"162,962",14.7
Households living below the federal poverty level,2016,Louisiana,22,"169,048",15.4
Households living below the federal poverty level,2017,Louisiana,22,"162,765",14.7
Households living below the federal poverty level,2018,Louisiana,22,"150,259",13.6
Households living below the federal poverty level,2019,Louisiana,22,"159,278",14.3
Households living below the federal poverty level,2020 (COVID-19 Pandemic),Louisiana,22,"134,455",12.4
Households living below the federal poverty level,2021,Louisiana,22,"172,995",15.2
Population 25 years and older w/o HS diploma,2011,Louisiana,22,"520,229",17.5
Population 25 years and older w/o HS diploma,2012,Louisiana,22,"511,123",17
Population 25 years and older w/o HS diploma,2013,Louisiana,22,"512,910",16.9
Population 25 years and older w/o HS diploma,2014,Louisiana,22,"501,953",16.4
Population 25 years and older w/o HS diploma,2015,Louisiana,22,"476,770",15.4
Population 25 years and older w/o HS diploma,2016,Louisiana,22,"486,438",15.6
Population 25 years and older w/o HS diploma,2017,Louisiana,22,"463,819",14.9
Population 25 years and older w/o HS diploma,2018,Louisiana,22,"442,559",14.2
Population 25 years and older w/o HS diploma,2019,Louisiana,22,"440,844",14
Population 25 years and older w/o HS diploma,2020 (COVID-19 Pandemic),Louisiana,22,"414,569",13.1
Population 25 years and older w/o HS diploma,2021,Louisiana,22,"415,297",13.3
Uninsured,2011,Louisiana,22,"784,015",17.5
Uninsured,2012,Louisiana,22,"759,627",16.9
Uninsured,2013,Louisiana,22,"751,323",16.6
Uninsured,2014,Louisiana,22,"671,753",14.8
Uninsured,2015,Louisiana,22,"545,631",11.9
Uninsured,2016,Louisiana,22,"469,832",10.3
Uninsured,2017,Louisiana,22,"382,649",8.4
Uninsured,2018,Louisiana,22,"363,362",8
Uninsured,2019,Louisiana,22,"404,253",8.9
Uninsured,2020 (COVID-19 Pandemic),Louisiana,22,"372,362",8.2
Uninsured,2021,Louisiana,22,"345,499",7.6
Vacant housing,2011,Louisiana,22,"276,944",14
Vacant housing,2012,Louisiana,22,"267,586",13.5
Vacant housing,2013,Louisiana,22,"262,818",13.2
Vacant housing,2014,Louisiana,22,"292,843",14.6
Vacant housing,2015,Louisiana,22,"286,829",14.2
Vacant housing,2016,Louisiana,22,"316,266",15.5
Vacant housing,2017,Louisiana,22,"324,459",15.7
Vacant housing,2018,Louisiana,22,"338,916",16.3
Vacant housing,2019,Louisiana,22,"348,748",16.7
Vacant housing,2020 (COVID-19 Pandemic),Louisiana,22,"341,074",16.2
Vacant housing,2021,Louisiana,22,"309,463",14.8
Households living below the federal poverty level,2011,Maine,23,"32,360",9.3
Households living below the federal poverty level,2012,Maine,23,"34,001",9.8
Households living below the federal poverty level,2013,Maine,23,"32,506",9.6
Households living below the federal poverty level,2014,Maine,23,"33,425",9.7
Households living below the federal poverty level,2015,Maine,23,"30,520",8.9
Households living below the federal poverty level,2016,Maine,23,"25,046",7.6
Households living below the federal poverty level,2017,Maine,23,"20,797",6.3
Households living below the federal poverty level,2018,Maine,23,"25,006",7.3
Households living below the federal poverty level,2019,Maine,23,"22,288",6.5
Households living below the federal poverty level,2020 (COVID-19 Pandemic),Maine,23,"22,065",6.4
Households living below the federal poverty level,2021,Maine,23,"26,296",7.2
Population 25 years and older w/o HS diploma,2011,Maine,23,"85,771",9.1
Population 25 years and older w/o HS diploma,2012,Maine,23,"80,496",8.5
Population 25 years and older w/o HS diploma,2013,Maine,23,"77,271",8.1
Population 25 years and older w/o HS diploma,2014,Maine,23,"79,631",8.3
Population 25 years and older w/o HS diploma,2015,Maine,23,"79,599",8.3
Population 25 years and older w/o HS diploma,2016,Maine,23,"74,138",7.7
Population 25 years and older w/o HS diploma,2017,Maine,23,"74,787",7.7
Population 25 years and older w/o HS diploma,2018,Maine,23,"68,461",7
Population 25 years and older w/o HS diploma,2019,Maine,23,"67,314",6.8
Population 25 years and older w/o HS diploma,2020 (COVID-19 Pandemic),Maine,23,"63,471",6.4
Population 25 years and older w/o HS diploma,2021,Maine,23,"55,545",5.5
Uninsured,2011,Maine,23,"140,165",10.7
Uninsured,2012,Maine,23,"134,709",10.2
Uninsured,2013,Maine,23,"147,015",11.2
Uninsured,2014,Maine,23,"133,531",10.1
Uninsured,2015,Maine,23,"110,508",8.4
Uninsured,2016,Maine,23,"105,973",8
Uninsured,2017,Maine,23,"107,067",8.1
Uninsured,2018,Maine,23,"106,187",8
Uninsured,2019,Maine,23,"106,537",8
Uninsured,2020 (COVID-19 Pandemic),Maine,23,"99,458",7.5
Uninsured,2021,Maine,23,"77,639",5.7
Vacant housing,2011,Maine,23,"173,599",23.9
Vacant housing,2012,Maine,23,"169,644",23.4
Vacant housing,2013,Maine,23,"175,454",24.3
Vacant housing,2014,Maine,23,"177,852",24.4
Vacant housing,2015,Maine,23,"184,166",25.2
Vacant housing,2016,Maine,23,"199,126",27.2
Vacant housing,2017,Maine,23,"201,685",27.2
Vacant housing,2018,Maine,23,"176,285",23.6
Vacant housing,2019,Maine,23,"177,346",23.6
Vacant housing,2020 (COVID-19 Pandemic),Maine,23,"171,323",22.7
Vacant housing,2021,Maine,23,"150,994",20.3
Households living below the federal poverty level,2011,Maryland,24,"100,506",7.1
Households living below the federal poverty level,2012,Maryland,24,"104,909",7.3
Households living below the federal poverty level,2013,Maryland,24,"102,510",7.1
Households living below the federal poverty level,2014,Maryland,24,"102,664",7.1
Households living below the federal poverty level,2015,Maryland,24,"97,474",6.7
Households living below the federal poverty level,2016,Maryland,24,"91,914",6.3
Households living below the federal poverty level,2017,Maryland,24,"91,129",6.2
Households living below the federal poverty level,2018,Maryland,24,"88,342",6
Households living below the federal poverty level,2019,Maryland,24,"84,800",5.8
Households living below the federal poverty level,2020 (COVID-19 Pandemic),Maryland,24,"80,016",5.4
Households living below the federal poverty level,2021,Maryland,24,"114,637",7.4
Population 25 years and older w/o HS diploma,2011,Maryland,24,"438,554",11.2
Population 25 years and older w/o HS diploma,2012,Maryland,24,"436,935",11
Population 25 years and older w/o HS diploma,2013,Maryland,24,"434,020",10.8
Population 25 years and older w/o HS diploma,2014,Maryland,24,"422,533",10.4
Population 25 years and older w/o HS diploma,2015,Maryland,24,"425,666",10.3
Population 25 years and older w/o HS diploma,2016,Maryland,24,"407,229",9.8
Population 25 years and older w/o HS diploma,2017,Maryland,24,"420,009",10.1
Population 25 years and older w/o HS diploma,2018,Maryland,24,"396,131",9.5
Population 25 years and older w/o HS diploma,2019,Maryland,24,"402,152",9.6
Population 25 years and older w/o HS diploma,2020 (COVID-19 Pandemic),Maryland,24,"374,342",8.9
Population 25 years and older w/o HS diploma,2021,Maryland,24,"380,818",8.9
Uninsured,2011,Maryland,24,"598,444",10.4
Uninsured,2012,Maryland,24,"597,554",10.3
Uninsured,2013,Maryland,24,"593,178",10.2
